ci_initial,ci_final,elapsed_time,iterations
2,0,10.601534128189087,14
1,0,10.613643646240234,9
3,0,10.397441625595093,21
2,0,10.663503408432007,8
1,0,10.50431227684021,11
2,0,10.608270168304443,27
0,0,10.517760038375854,6
1,0,10.520716190338135,9
2,0,10.630091428756714,11
2,0,10.455907583236694,8
1,0,12.926390647888184,8
1,0,13.50682783126831,31
1,0,14.455134153366089,7
3,0,11.57776689529419,14
1,0,12.984954118728638,10
3,0,15.178804397583008,20
1,0,14.531246185302734,9
0,0,15.14707636833191,8
1,0,12.522645473480225,7
2,0,12.050009727478027,23
2,0,14.664473056793213,13
2,0,12.130807638168335,8
1,0,12.753821611404419,26
0,0,12.678781032562256,8
0,0,12.523438930511475,8
1,0,13.65463137626648,6
2,0,13.364390134811401,11
0,0,15.351601600646973,9
1,0,12.435900211334229,15
2,0,12.610852003097534,22
